"Protein","Gene","Description","GeneSymbol","Ctrl.Rep1","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B","controlLogFoldChange"
"Q9NZM5","NOP53_HUMAN","Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60)","NOP53",5.97,4.91,5.08,4.89,4.57,4.93,4.7,4.43,3.79,4.35,3.74,1,-0.55,4.66813595591429,-2.22,0.047,0.74,-4.21,1.25345810160412
"Q86U70","LDB1_HUMAN","LIM domain-binding protein 1 (LDB-1) (Carboxyl-terminal LIM domain-binding protein 2) (CLIM-2) (LIM domain-binding factor CLIM2) (hLdb1) (Nuclear LIM interactor)","LDB1",1.42,2.99,3.6,4.25,4.17,3.94,4.14,4.11,3.13,3.32,3.09,1,1.03,3.46839336958455,2.22,0.047,0.74,-4.21,0.91045747746741
"Q9BT78","CSN4_HUMAN","COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4)","COPS4",4.38,4.58,4.36,4.2,4.53,4.92,4.85,4.59,3.81,3.52,3.87,1,0.34,4.32656784244593,2.21,0.048,0.74,-4.21,0.984856370391702
"Q13601","KRR1_HUMAN","KRR1 small subunit processome component homolog (HIV-1 Rev-binding protein 2) (KRR-R motif-containing protein 1) (Rev-interacting protein 1) (Rip-1)","KRR1",8.4,7.46,7.51,7.6,7.31,7.31,7.34,7.23,6.05,6.19,5.62,2,-0.45,7.09269529106296,-2.19,0.05,0.74,-4.22,1.79044736524955
"Q86U86","PB1_HUMAN","Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D)","PBRM1",4.93,4.24,4.14,4.15,3.67,4.23,3.93,3.77,2.04,2.34,2.2,1,-0.47,3.60422547186856,-2.19,0.05,0.74,-4.22,2.17009234171126
"P56192","SYMC_HUMAN","Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)","MARS",8.33,9.02,9.35,9.03,9.28,9.22,9.57,9.29,7.69,7.72,7.85,5,0.4,8.76029085436603,2.18,0.051,0.74,-4.22,1.58590200384781
"Q8N475","FSTL5_HUMAN","Follistatin-related protein 5 (Follistatin-like protein 5)","FSTL5",3.93,5.79,5.63,6.63,6.62,6.32,6.19,6.62,5.67,5.93,5.56,1,0.94,5.89931476034589,2.17,0.052,0.74,-4.23,0.714861625743053
"P16402","H13_HUMAN","Histone H1.3 (Histone H1c) (Histone H1s-2)","HIST1H1D",11.96,10.51,10.81,10.06,9.81,10.08,10.6,9.94,9.41,9.08,9.36,10,-0.73,10.146724239547,-2.17,0.052,0.74,-4.23,1.54972058311289
"Q9HD20","AT131_HUMAN","Manganese-transporting ATPase 13A1 (EC 3.6.3.-)","ATP13A1",6.6,7.21,7.47,7.31,7.66,7.45,7.5,7.68,5.33,6.02,5.63,2,0.43,6.8963056536726,2.17,0.052,0.74,-4.23,1.9104247205625
"Q15056","IF4H_HUMAN","Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein)","EIF4H",8.77,9.18,9.25,9.22,9.37,9.29,9.37,9.39,7.7,7.68,7.58,7,0.25,8.79944519263751,2.12,0.056,0.74,-4.25,1.70382637477387
"Q7L2H7","EIF3M_HUMAN","Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Fetal lung protein B5) (hFL-B5) (PCI domain-containing protein 1)","EIF3M",6.48,7.17,7.03,7.35,7.55,7.45,7.19,7.31,5.95,5.92,6.02,2,0.37,6.85590365127959,2.12,0.056,0.74,-4.25,1.41128092550377
"Q9BZF9","UACA_HUMAN","Uveal autoantigen with coiled-coil domains and ankyrin repeats","UACA",7.29,6.33,6.8,6.2,6.27,6.11,6.27,6.2,4.93,5.18,4.96,1,-0.44,6.04778003419443,-2.12,0.056,0.74,-4.25,1.63189731070685
"Q08379","GOGA2_HUMAN","Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130) (GM130 autoantigen) (Golgin-95)","GOLGA2",6.1,5.21,4.75,4.69,4.52,4.6,4.82,4.54,3.83,3.74,4.06,1,-0.57,4.62310163914271,-2.12,0.056,0.74,-4.25,1.3168263257499
"Q8WXH0","SYNE2_HUMAN","Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2)","SYNE2",3.65,4.2,4.36,4.76,4.91,4.64,4.47,4.98,3.8,4.47,4.01,1,0.51,4.38597350970051,2.12,0.057,0.74,-4.25,0.659701709391226
"Q13310","PABP4_HUMAN","Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)","PABPC4",6.88,6.46,6,5.89,5.7,5.92,6.21,5.56,5.79,5.88,5.86,1,-0.46,6.01363987119105,-2.11,0.057,0.74,-4.25,0.463328153121664
"Q9Y2S6","TMA7_HUMAN","Translation machinery-associated protein 7 (Coiled-coil domain-containing protein 72)","TMA7",6.35,6.82,6.71,7.21,7.07,7.13,7.13,7.33,5.15,4.91,4.54,1,0.39,6.39607608633442,2.1,0.059,0.74,-4.25,2.29773580869107
"Q12996","CSTF3_HUMAN","Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)","CSTF3",6.26,6.38,6.52,6.52,6.68,6.65,6.89,6.72,5.53,6.21,5.99,1,0.31,6.39461841991858,2.09,0.06,0.74,-4.26,0.824882239202253
"O95644","NFAC1_HUMAN","Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)","NFATC1",5.23,7.04,6.71,7.61,7.63,7.45,7.14,7.72,6.97,7.6,7.06,1,0.84,7.10527537868384,2.07,0.061,0.74,-4.26,0.274697762466007
"Q9NPA8","ENY2_HUMAN","Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog)","ENY2",6.88,6.82,7.24,6.81,6.35,6.81,6.83,6.53,4.73,4.84,4.65,1,-0.31,6.22445494209421,-2.07,0.062,0.74,-4.26,2.19859085575091
"Q99733","NP1L4_HUMAN","Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2)","NAP1L4",4.87,4.54,4.38,3.9,3.81,3.89,4.19,4.07,3.52,3.28,3.05,1,-0.43,3.9555875179198,-2.05,0.064,0.74,-4.27,1.13909189752833
"Q6R327","RICTR_HUMAN","Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3)","RICTOR",5.22,5.42,5.2,5.85,6.03,5.83,5.46,5.97,4.39,4.98,4.83,1,0.4,5.38081917562804,2.05,0.064,0.74,-4.27,1.09239060372263
"Q9NSI2","F207A_HUMAN","Protein FAM207A","FAM207A",6.65,6.23,6.43,6.27,6.03,6.13,6.08,6.1,4.41,4.97,4.4,1,-0.31,5.79023289682902,-2.04,0.065,0.74,-4.28,1.8032999895739
"Q9Y223","GLCNE_HUMAN","Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]","GNE",3.68,4.9,5.15,5.31,5.81,5.44,5.09,5.41,3.94,4.78,4.33,1,0.68,4.89414175552349,2.03,0.066,0.74,-4.28,1.08738320134164
"P35249","RFC4_HUMAN","Replication factor C subunit 4 (Activator 1 37 kDa subunit) (A1 37 kDa subunit) (Activator 1 subunit 4) (Replication factor C 37 kDa subunit) (RF-C 37 kDa subunit) (RFC37)","RFC4",4.21,5.45,5.17,5.69,5.75,5.78,5.33,6,5.21,5.68,5.22,1,0.58,5.40765044151753,2.03,0.066,0.74,-4.28,0.345572445757632
"P62841","RS15_HUMAN","40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)","RPS15",7.73,8.63,8.67,8.61,8.86,8.72,8.79,8.77,7.5,7.39,7.5,3,0.38,8.28803994848194,2.03,0.066,0.74,-4.28,1.32377862202671
"P60842","IF4A1_HUMAN","Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)","EIF4A1",9.77,10.8,10.94,10.76,11.4,10.93,10.84,10.96,8.32,8.36,8.19,12,0.46,10.1149902867005,2.02,0.068,0.74,-4.28,2.74036466040021
"Q8IYB3","SRRM1_HUMAN","Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein)","SRRM1",8,7.01,7.26,6.87,6.77,6.75,7.02,6.82,5.74,5.24,5.44,2,-0.45,6.6277470639504,-2.01,0.069,0.74,-4.29,1.80824057257701
"P62269","RS18_HUMAN","40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)","RPS18",9.09,9.73,9.32,9.57,9.8,9.61,9.73,9.7,8.75,8.42,8.58,8,0.28,9.29984287440377,1.99,0.072,0.74,-4.3,1.12029550601351
"O15446","RPA34_HUMAN","DNA-directed RNA polymerase I subunit RPA34 (A34.5) (Antisense to ERCC-1 protein) (ASE-1) (CD3-epsilon-associated protein) (CAST) (CD3E-associated protein) (RNA polymerase I-associated factor PAF49)","CD3EAP",3.58,2.87,3.53,3.66,2.9,2.52,3.04,3.03,1.38,2.42,2.3,1,-0.54,2.83930686966943,-1.98,0.072,0.74,-4.3,1.37788230943994
"Q9Y5J1","UTP18_HUMAN","U3 small nucleolar RNA-associated protein 18 homolog (WD repeat-containing protein 50)","UTP18",5.75,5.03,5.27,5.03,5.16,4.82,4.73,4.89,3.68,3.84,3.41,1,-0.37,4.69218917260367,-1.98,0.073,0.74,-4.3,1.62839168700877
"P16104","H2AX_HUMAN","Histone H2AX (H2a/x) (Histone H2A.X)","H2AFX",9.02,7.27,7.35,6.96,6.54,7.05,7.15,7,5.98,6.07,6.02,1,-0.72,6.94711640009897,-1.97,0.073,0.74,-4.3,1.62850806381197
"P62495","ERF1_HUMAN","Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1)","ETF1",7.66,7.97,7.81,7.96,8.11,8.01,8.04,8.08,6.89,7.12,6.94,2,0.21,7.68901091887522,1.97,0.074,0.74,-4.3,1.07359571540254
"Q9UBC2","EP15R_HUMAN","Epidermal growth factor receptor substrate 15-like 1 (Eps15-related protein) (Eps15R)","EPS15L1",7.86,6.91,6.54,6.57,6.37,6.42,6.62,6.52,5.45,5.31,5.54,2,-0.49,6.37380111680758,-1.96,0.075,0.74,-4.3,1.53239053928277
"P55265","DSRAD_HUMAN","Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)","ADAR",11.35,12.71,12.67,13.08,13.39,12.91,12.7,13.22,10.12,10.17,10.04,39,0.6,12.0328865999885,1.96,0.075,0.74,-4.3,2.94816757317952
"Q9H1B7","I2BPL_HUMAN","Interferon regulatory factor 2-binding protein-like (Enhanced at puberty protein 1)","IRF2BPL",5.69,6.6,6.81,7.06,7.06,7.2,6.72,7.2,6.32,6.51,6.08,2,0.5,6.65864175244778,1.96,0.076,0.74,-4.31,0.737642475633905
"Q86YZ3","HORN_HUMAN","Hornerin","HRNR",6.46,8.28,8.78,9.03,8.93,9.46,8.75,9.09,7.55,8.58,7.62,4,0.92,8.41070137807604,1.94,0.077,0.74,-4.31,1.13977416025926
"Q9Y3A3","PHOCN_HUMAN","MOB-like protein phocein (2C4D) (Class II mMOB1) (Mob1 homolog 3) (Mob3) (Mps one binder kinase activator-like 3) (Preimplantation protein 3)","MOB4",4.51,5.92,6.15,6.48,6.75,6.2,6.26,6.54,3.13,3.41,3.35,2,0.67,5.33643029735469,1.94,0.077,0.74,-4.31,3.13642102276956
"Q15427","SF3B4_HUMAN","Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49)","SF3B4",7.07,6.6,6.57,6.54,6.64,6.21,6.38,6.37,5.34,5.69,5.47,2,-0.3,6.26081591846965,-1.94,0.078,0.74,-4.31,1.19458459151687
"Q15029","U5S1_HUMAN","116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)","EFTUD2",10.74,10.37,10.46,10.31,10.22,10.34,10.26,10.23,8.82,8.63,8.66,16,-0.21,9.91254982655887,-1.94,0.078,0.74,-4.31,1.76529312590572
"Q96T37","RBM15_HUMAN","Putative RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)","RBM15",7.64,7.9,7.88,8.11,8.28,8.06,7.93,8.28,6.88,7.08,6.87,4,0.25,7.71959363249663,1.93,0.079,0.74,-4.32,1.18821699023481
"Q93008","USP9X_HUMAN","Probable ubiquitin carboxyl-terminal hydrolase FAF-X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)","USP9X",5.75,6.13,6.22,5.99,6.55,6.31,6.91,6.65,6.18,6,4.56,1,0.58,6.11366714294359,1.93,0.08,0.74,-4.32,1.02739374291042
"Q5QJE6","TDIF2_HUMAN","Deoxynucleotidyltransferase terminal-interacting protein 2 (Estrogen receptor-binding protein) (LPTS-interacting protein 2) (LPTS-RP2) (Terminal deoxynucleotidyltransferase-interacting factor 2) (TdIF2) (TdT-interacting factor 2)","DNTTIP2",6.85,5.66,5.42,5.96,5.66,5.45,5.34,5.45,4.6,4.82,4.39,2,-0.5,5.41952852350089,-1.92,0.08,0.74,-4.32,1.36760986523681
"P10599","THIO_HUMAN","Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP)","TXN",8.39,8.98,9.32,9.39,9.26,9.33,9.54,9.38,7.75,7.81,7.77,4,0.36,8.81117427173445,1.92,0.081,0.74,-4.32,1.60370993947453
"Q9BZZ5","API5_HUMAN","Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)","API5",9.64,9,8.67,8.83,8.75,8.63,8.7,8.69,7.49,7.2,7.37,5,-0.35,8.45251572977367,-1.91,0.081,0.74,-4.32,1.68658976276952
"Q92614","MY18A_HUMAN","Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus) (MAJN) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210) (SP-R210)","MYO18A",5.37,4.27,4.7,4.02,4.02,4.05,4.36,3.86,2.67,2.95,3.22,1,-0.52,3.95261488557111,-1.91,0.081,0.74,-4.32,1.64221944755297
"Q14240","IF4A2_HUMAN","Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)","EIF4A2",6.42,7.17,7.21,7.16,7.75,7.28,7.1,7.33,4.78,4.6,4.66,2,0.37,6.49636919768245,1.91,0.081,0.74,-4.32,2.68379957708043
"P61927","RL37_HUMAN","60S ribosomal protein L37 (G1.16) (Large ribosomal subunit protein eL37)","RPL37",8.6,9.58,9.77,9.78,10.2,9.82,9.75,9.79,8.06,8.31,8.42,3,0.46,9.27847011332113,1.91,0.082,0.74,-4.32,1.62720790728691
"Q92922","SMRC1_HUMAN","SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (BAF155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1)","SMARCC1",5.46,6.95,6.91,7.35,7.45,7.47,6.91,7.45,5.41,5.89,5.35,3,0.65,6.5993935721961,1.9,0.083,0.74,-4.33,1.76975993053593
"Q5VVM6","CCD30_HUMAN","Coiled-coil domain-containing protein 30 (Prefoldin subunit 6-like protein)","CCDC30",8.4,8.59,8.83,8.99,9.11,9.08,8.64,9.18,7.55,7.73,7.47,1,0.3,8.50600575255105,1.9,0.083,0.74,-4.33,1.42032996173789
"P62195","PRS8_HUMAN","26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)","PSMC5",6.43,6.89,7.03,6.84,7.01,6.9,7.17,7.19,5.84,5.69,5.83,2,0.27,6.62015463510433,1.89,0.084,0.74,-4.33,1.27895755892234
"Q9Y3D6","FIS1_HUMAN","Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)","FIS1",5.62,6.4,6.54,6.59,6.69,6.55,6.6,6.75,5.18,5.14,5.31,1,0.36,6.12495103637424,1.89,0.084,0.74,-4.33,1.43470202084335
"P39019","RS19_HUMAN","40S ribosomal protein S19 (Small ribosomal subunit protein eS19)","RPS19",8.59,9.5,8.85,9.14,9.39,9.32,9.36,9.31,8.68,8.27,8.5,4,0.33,8.99295701738299,1.88,0.086,0.74,-4.33,0.863617619893548
"Q969X6","UTP4_HUMAN","U3 small nucleolar RNA-associated protein 4 homolog (Cirhin) (UTP4 small subunit processome component)","UTP4",8.07,6.83,6.59,6.71,6.51,6.67,6.35,6.5,5.04,5.24,4.6,1,-0.54,6.28098689352787,-1.88,0.086,0.74,-4.33,2.09010345687462
"O60884","DNJA2_HUMAN","DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14)","DNAJA2",5.66,5.93,6.17,6.18,6.24,6.46,6.13,6.28,4.52,4.99,4.64,2,0.29,5.7443702717649,1.88,0.086,0.74,-4.33,1.56186016769155
"Q13428","TCOF_HUMAN","Treacle protein (Treacher Collins syndrome protein)","TCOF1",9.25,7.64,7.77,7.95,7.53,7.64,7.45,7.67,6.16,6.85,6.16,5,-0.58,7.46048805965509,-1.88,0.087,0.74,-4.34,1.75994817013313
"P06307","CCKN_HUMAN","Cholecystokinin (CCK) [Cleaved into: Cholecystokinin-58 (CCK58); Cholecystokinin-58 desnonopeptide ((1-49)-CCK58); Cholecystokinin-39 (CCK39); Cholecystokinin-33 (CCK33); Cholecystokinin-25 (CCK25); Cholecystokinin-18 (CCK18); Cholecystokinin-12 (CCK12); Cholecystokinin-8 (CCK8); Cholecystokinin-7 (CCK7); Cholecystokinin-5 (CCK5)]","CCK",4.53,5.95,5.72,6.6,6.53,6.46,5.92,6.48,5.94,6.2,5.85,1,0.65,6.01501211240844,1.87,0.087,0.74,-4.34,0.354869027437146
"Q9Y266","NUDC_HUMAN","Nuclear migration protein nudC (Nuclear distribution protein C homolog)","NUDC",5.59,5.97,5.94,6.6,6.61,6.44,6.18,6.46,5.78,6.23,5.63,1,0.39,6.13013593599561,1.87,0.088,0.74,-4.34,0.544252070704168
"Q9NXF1","TEX10_HUMAN","Testis-expressed protein 10","TEX10",6.95,5.93,5.76,6.08,5.71,5.9,5.68,5.8,4.64,4.59,4.65,1,-0.41,5.60883373486861,-1.87,0.088,0.74,-4.34,1.55245200823814
"P49755","TMEDA_HUMAN","Transmembrane emp24 domain-containing protein 10 (21 kDa transmembrane-trafficking protein) (S31III125) (S31I125) (Tmp-21-I) (Transmembrane protein Tmp21) (p23) (p24 family protein delta-1) (p24delta1) (p24delta)","TMED10",6.16,6.74,6.43,6.35,6.92,6.71,6.43,6.79,5.22,4.84,5.09,2,0.29,6.15264610769442,1.86,0.089,0.74,-4.34,1.66488789741138
"Q8NFP4","MDGA1_HUMAN","MAM domain-containing glycosylphosphatidylinositol anchor protein 1 (GPI and MAM protein) (GPIM) (Glycosylphosphatidylinositol-MAM) (MAM domain-containing protein 3)","MDGA1",4.01,5.97,6.08,6.84,6.96,6.54,6.19,6.7,5.95,6.38,6.21,1,0.87,6.16705848974503,1.86,0.089,0.74,-4.34,0.41664166791928
"P20700","LMNB1_HUMAN","Lamin-B1","LMNB1",12.76,12.11,12,12.07,11.82,12,12,11.98,10.7,10.71,10.69,33,-0.28,11.7133467412545,-1.85,0.09,0.74,-4.34,1.53769689087441
