"Protein","Gene","Description","GeneSymbol","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P46777","RL5_HUMAN","60S ribosomal protein L5 (Large ribosomal subunit protein uL18)","RPL5",11.33,11.47,11.3,11.4,11.32,11.39,11.39,9.95,9.88,9.91,10,1.45,10.933250076436,19.2,1.7e-10,1.9e-08,14.66
"Q15019","SEPT2_HUMAN","Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5) (NEDD-5)","SEPT2",9.28,9.32,9.3,9.22,9.26,9.24,9.3,7.85,7.67,7.75,9,1.54,8.81798557118358,19.07,1.8e-10,1.9e-08,14.58
"Q12872","SFSWA_HUMAN","Splicing factor, suppressor of white-apricot homolog (Splicing factor, arginine/serine-rich 8) (Suppressor of white apricot protein homolog)","SFSWAP",8.14,8.59,8.99,8.57,8.83,8.26,8.69,4.16,4.69,4.01,1,4.28,7.29344554559154,19.06,1.9e-10,1.9e-08,14.57
"P61313","RL15_HUMAN","60S ribosomal protein L15 (Large ribosomal subunit protein eL15)","RPL15",10.96,11.13,10.95,11.19,11.07,11,11,9.43,9.38,9.32,13,1.63,10.5433386052407,19.02,1.9e-10,1.9e-08,14.55
"P18754","RCC1_HUMAN","Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)","RCC1",8.89,9.07,8.94,8.95,8.93,8.98,9.02,7.34,7.41,7.31,6,1.61,8.4858188558478,19.02,1.9e-10,1.9e-08,14.55
"P08727","K1C19_HUMAN","Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)","KRT19",14.19,14.38,14.28,14.31,14.43,14.05,14.25,12.25,12.44,12.24,33,1.97,13.6828422819312,18.98,2e-10,1.9e-08,14.52
"Q9Y618","NCOR2_HUMAN","Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)","NCOR2",8.21,8.33,8.58,8.49,8.67,7.96,8.6,5.16,5.26,5.14,3,3.19,7.43953692336488,18.86,2.1e-10,1.9e-08,14.45
"P12004","PCNA_HUMAN","Proliferating cell nuclear antigen (PCNA) (Cyclin)","PCNA",8.32,8.44,8.46,8.26,8.32,8.25,8.35,6.64,6.63,6.8,3,1.72,7.84635227194985,18.75,2.3e-10,1.9e-08,14.38
"P25685","DNJB1_HUMAN","DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1)","DNAJB1",8.97,9.33,9.26,8.93,9.12,9.16,9.16,7.17,7.15,7.19,5,2.02,8.54417922069852,18.56,2.5e-10,1.9e-08,14.26
"P84085","ARF5_HUMAN","ADP-ribosylation factor 5","ARF5",9.08,9.06,9.03,9.11,9.14,8.97,9.13,7.56,7.54,7.51,4,1.52,8.61351607291773,18.55,2.6e-10,1.9e-08,14.25
"P63151","2ABA_HUMAN","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)","PPP2R2A",8.53,9.24,8.85,9.24,8.93,9.13,9.11,5.4,5.94,5.56,6,3.24,7.99287580922806,18.34,2.9e-10,1.9e-08,14.12
"P83916","CBX1_HUMAN","Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta)","CBX1",9.13,9.54,9.32,9.17,9.33,9.29,9.35,7.33,7.41,7.39,7,1.95,8.72493181012324,18.26,3.1e-10,1.9e-08,14.07
"P62826","RAN_HUMAN","GTP-binding nuclear protein Ran (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)","RAN",9.94,10.24,10.09,10.02,10.07,10.1,10.03,8.46,8.4,8.26,7,1.72,9.5607047395219,18.24,3.1e-10,1.9e-08,14.05
"P32119","PRDX2_HUMAN","Peroxiredoxin-2 (EC 1.11.1.15) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)","PRDX2",11.33,11.98,11.49,11.86,11.57,11.71,11.59,8.57,8.92,8.45,11,2.95,10.7466367061083,18.22,3.2e-10,1.9e-08,14.04
"P18077","RL35A_HUMAN","60S ribosomal protein L35a (Cell growth-inhibiting gene 33 protein) (Large ribosomal subunit protein eL33)","RPL35A",10.9,10.98,11.16,11.13,11.1,10.91,11.03,9.36,9.35,9.27,10,1.68,10.5199933756192,18.2,3.2e-10,1.9e-08,14.03
"Q92769","HDAC2_HUMAN","Histone deacetylase 2 (HD2) (EC 3.5.1.98)","HDAC2",8.43,8.67,8.66,8.53,8.83,8.51,8.71,6.64,6.62,6.61,4,1.97,8.02245925861457,18.03,3.6e-10,1.9e-08,13.92
"P04406","G3P_HUMAN","Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)","GAPDH",11.41,11.72,11.59,11.52,11.61,11.55,11.56,9.99,9.87,9.74,22,1.71,11.0569166400956,17.99,3.7e-10,1.9e-08,13.89
"Q12789","TF3C1_HUMAN","General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)","GTF3C1",9.08,9.42,9.3,9.24,9.29,9.17,9.39,7.42,7.33,7.48,7,1.86,8.71359164125094,17.92,3.8e-10,1.9e-08,13.84
"P23588","IF4B_HUMAN","Eukaryotic translation initiation factor 4B (eIF-4B)","EIF4B",10.81,10.89,10.67,10.95,10.79,10.88,10.78,9.24,9.28,9.15,19,1.57,10.3440038166848,17.91,3.9e-10,1.9e-08,13.84
"P0DMV9","HS71B_HUMAN","Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2)","HSPA1B",10.58,10.79,10.63,10.58,10.61,10.58,10.67,9.23,9.26,9.25,13,1.42,10.218467987003,17.9,3.9e-10,1.9e-08,13.83
"P63244","RACK1_HUMAN","Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]","RACK1",10.71,10.98,10.76,10.94,10.95,10.9,10.87,9.24,8.97,9.01,12,1.74,10.3340904899457,17.83,4.1e-10,1.9e-08,13.78
"P62829","RL23_HUMAN","60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)","RPL23",8.98,9.18,9.05,9.11,9.03,9.04,9.05,7.6,7.55,7.59,7,1.49,8.61839097822848,17.83,4.1e-10,1.9e-08,13.78
"Q8NFW8","NEUA_HUMAN","N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) (CMP-N-acetylneuraminic acid synthase) (CMP-NeuNAc synthase)","CMAS",9.21,9.36,9.42,9.38,9.45,9.29,9.28,7.78,7.7,7.72,8,1.6,8.85880295487484,17.8,4.2e-10,1.9e-08,13.76
"P62917","RL8_HUMAN","60S ribosomal protein L8 (Large ribosomal subunit protein uL2)","RPL8",11.43,11.41,11.41,11.51,11.37,11.51,11.45,10.13,10,10.1,14,1.34,11.0307870814428,17.78,4.2e-10,1.9e-08,13.75
"Q96JM3","CHAP1_HUMAN","Chromosome alignment-maintaining phosphoprotein 1 (Zinc finger protein 828)","CHAMP1",8.09,8.51,8.19,8.14,8.17,8.2,8.23,6.21,6.08,5.87,2,2.21,7.56989573815673,17.75,4.3e-10,1.9e-08,13.73
"Q9UBW7","ZMYM2_HUMAN","Zinc finger MYM-type protein 2 (Fused in myeloproliferative disorders protein) (Rearranged in atypical myeloproliferative disorder protein) (Zinc finger protein 198)","ZMYM2",8.79,8.9,9.17,9.06,9.18,8.74,9.05,6.44,6.73,6.59,8,2.36,8.2651404927205,17.65,4.6e-10,1.9e-08,13.66
"Q6ZRV2","FA83H_HUMAN","Protein FAM83H","FAM83H",9.77,9.83,9.64,9.71,9.79,9.71,9.73,8.34,8.29,8.32,14,1.43,9.31224036981056,17.62,4.7e-10,1.9e-08,13.65
"P32969","RL9_HUMAN","60S ribosomal protein L9 (Large ribosomal subunit protein uL6)","RPL9",9.12,9.29,9.18,9.34,9.24,9.26,9.18,7.33,6.87,7.23,6,2.05,8.60329550386748,17.6,4.8e-10,1.9e-08,13.63
"Q13185","CBX3_HUMAN","Chromobox protein homolog 3 (HECH) (Heterochromatin protein 1 homolog gamma) (HP1 gamma) (Modifier 2 protein)","CBX3",8.96,9.33,9.25,9.02,9.19,9.21,9.29,7.27,7.28,7.28,5,1.9,8.60810717433007,17.56,4.9e-10,1.9e-08,13.6
"P46781","RS9_HUMAN","40S ribosomal protein S9 (Small ribosomal subunit protein uS4)","RPS9",11.44,11.46,11.3,11.39,11.39,11.46,11.36,10.01,9.77,9.94,17,1.49,10.9510161249729,17.55,4.9e-10,1.9e-08,13.6
"Q99584","S10AD_HUMAN","Protein S100-A13 (S100 calcium-binding protein A13)","S100A13",9.11,9.26,9.21,9.43,9.26,9.04,9.39,7.35,7.25,7.35,3,1.88,8.66548674024006,17.52,5e-10,1.9e-08,13.58
"Q08945","SSRP1_HUMAN","FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)","SSRP1",9.98,10.35,10.01,9.91,10.06,10.09,9.92,8.27,8.16,8.24,12,1.89,9.49960422797719,17.47,5.2e-10,1.9e-08,13.54
"P60842","IF4A1_HUMAN","Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)","EIF4A1",10.51,10.65,10.47,11.11,10.64,10.55,10.67,8.32,8.36,8.19,12,2.25,9.94682676264409,17.32,5.7e-10,2e-08,13.44
"O95251","KAT7_HUMAN","Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2) (MYST-2)","KAT7",6.6,6.64,6.58,6.62,6.66,6.6,6.63,4.9,4.68,4.77,2,1.82,6.06908726668031,17.3,5.8e-10,2e-08,13.43
"P06733","ENOA_HUMAN","Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)","ENO1",11.35,11.56,11.42,11.4,11.43,11.46,11.45,10.08,9.89,10.04,24,1.44,11.0099926807745,17.21,6.2e-10,2.1e-08,13.36
"P23771","GATA3_HUMAN","Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3)","GATA3",7.84,8.08,8.53,8.19,8.35,7.95,8.44,5.27,5,5.26,3,2.97,7.29134358381194,17.06,6.9e-10,2.3e-08,13.26
"Q6NXG1","ESRP1_HUMAN","Epithelial splicing regulatory protein 1 (RNA-binding motif protein 35A) (RNA-binding protein 35A)","ESRP1",8.75,8.57,8.69,8.8,8.6,8.58,8.61,7.12,6.95,7,4,1.65,8.16798730002183,17.03,7e-10,2.3e-08,13.24
"Q9Y5B9","SP16H_HUMAN","FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)","SUPT16H",11.04,11.33,11.22,11.07,11.2,11.23,11.13,9.64,9.71,9.73,21,1.5,10.7298251472608,16.97,7.3e-10,2.3e-08,13.19
"O15371","EIF3D_HUMAN","Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)","EIF3D",8.99,9.18,9,9.13,9.06,9.16,9.03,7.56,7.29,7.38,5,1.65,8.57780097971222,16.93,7.5e-10,2.3e-08,13.17
"P07737","PROF1_HUMAN","Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)","PFN1",10.11,10.42,10.42,10.19,10.29,10.41,10.43,8.61,8.47,8.55,9,1.77,9.78906855386565,16.8,8.2e-10,2.5e-08,13.08
"O95833","CLIC3_HUMAN","Chloride intracellular channel protein 3","CLIC3",8.14,8.25,8.36,8.26,8.27,8.18,8.45,6.45,6.16,6.43,4,1.91,7.69495324491405,16.74,8.6e-10,2.5e-08,13.03
"Q13162","PRDX4_HUMAN","Peroxiredoxin-4 (EC 1.11.1.15) (Antioxidant enzyme AOE372) (AOE37-2) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372)","PRDX4",7.14,7.21,7.53,7.88,7.24,7.27,7.69,3.68,3.85,4.28,3,3.35,6.37619143184738,16.71,8.8e-10,2.5e-08,13.01
"P61513","RL37A_HUMAN","60S ribosomal protein L37a (Large ribosomal subunit protein eL43)","RPL37A",8.95,9.3,9.02,9.17,9.15,9.32,9.15,7.39,7.34,7.41,4,1.71,8.62068469319334,16.71,8.8e-10,2.5e-08,13.01
"P11142","HSP7C_HUMAN","Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)","HSPA8",11.53,11.83,11.53,11.64,11.64,11.61,11.6,10.16,10.18,10.11,23,1.48,11.1825947269492,16.56,9.7e-10,2.7e-08,12.91
"Q99996","AKAP9_HUMAN","A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)","AKAP9",9.29,9.67,9.37,9.89,9.46,9.33,9.53,7.05,7.21,7.03,9,2.34,8.78455919507823,16.54,9.9e-10,2.7e-08,12.89
"Q9NTI5","PDS5B_HUMAN","Sister chromatid cohesion protein PDS5 homolog B (Androgen-induced proliferation inhibitor) (Androgen-induced prostate proliferative shutoff-associated protein AS3)","PDS5B",9.07,9.3,9.08,8.97,9.11,9.03,9.12,7.67,7.61,7.65,7,1.51,8.66187190171592,16.53,9.9e-10,2.7e-08,12.88
"P62913","RL11_HUMAN","60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5)","RPL11",9.7,9.97,9.64,9.81,9.75,9.82,9.67,7.99,7.61,7.93,5,1.93,9.19003225990654,16.51,1e-09,2.7e-08,12.87
"O43143","DHX15_HUMAN","Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)","DHX15",9.69,9.77,9.73,9.82,9.82,9.77,9.8,8.45,8.54,8.45,16,1.25,9.38499812507253,16.5,1e-09,2.7e-08,12.86
"Q7Z3K3","POGZ_HUMAN","Pogo transposable element with ZNF domain (Suppressor of hairy wing homolog 5) (Zinc finger protein 280E) (Zinc finger protein 635)","POGZ",8.04,8.53,8.27,7.94,8.2,8.3,8.3,6.02,6.09,5.9,3,2.28,7.55826893584402,16.44,1.1e-09,2.7e-08,12.82
"O00244","ATOX1_HUMAN","Copper transport protein ATOX1 (Metal transport protein ATX1)","ATOX1",6.48,6.75,6.69,6.52,6.68,6.68,6.61,4.57,4.78,4.74,1,1.94,6.05052824106654,16.43,1.1e-09,2.7e-08,12.81
"P98198","AT8B2_HUMAN","Phospholipid-transporting ATPase ID (EC 3.6.3.1) (ATPase class I type 8B member 2) (P4-ATPase flippase complex alpha subunit ATP8B2)","ATP8B2",6.65,6.67,6.58,6.9,7.03,6.54,6.69,4.38,4.5,4.32,1,2.23,6.02551384312142,16.36,1.1e-09,2.8e-08,12.76
"P62937","PPIA_HUMAN","Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]","PPIA",9.66,9.63,9.89,9.75,9.75,9.62,9.93,7.92,7.57,7.87,7,1.94,9.1575717576133,16.34,1.1e-09,2.8e-08,12.74
"O60264","SMCA5_HUMAN","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)","SMARCA5",10.53,10.85,10.56,10.54,10.67,10.63,10.53,9.11,9.01,9.1,20,1.57,10.1534496052043,16.32,1.2e-09,2.8e-08,12.73
"P49711","CTCF_HUMAN","Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)","CTCF",8.41,8.89,8.57,8.29,8.6,8.68,8.46,6.5,6.45,6.44,5,2.16,7.93022808090128,16.31,1.2e-09,2.8e-08,12.72
"P35606","COPB2_HUMAN","Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)","COPB2",11.29,11.52,11.45,11.54,11.48,11.44,11.52,10.07,10.17,10.09,25,1.31,11.0559649212015,16.26,1.2e-09,2.8e-08,12.69
"P15880","RS2_HUMAN","40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5)","RPS2",10.76,10.71,10.69,10.88,10.7,10.79,10.72,9.4,9.12,9.27,12,1.46,10.3042580161522,16.21,1.3e-09,2.9e-08,12.65
"P48444","COPD_HUMAN","Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)","ARCN1",9.55,9.65,9.57,9.74,9.6,9.6,9.68,8.27,8.33,8.29,10,1.3,9.22778182722266,16.19,1.3e-09,2.9e-08,12.63
"Q15029","U5S1_HUMAN","116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)","EFTUD2",10.09,10.17,10.02,9.93,10.05,9.97,9.94,8.82,8.63,8.66,16,1.39,9.62765048715849,16.14,1.3e-09,2.9e-08,12.6
"P48729","KC1A_HUMAN","Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)","CSNK1A1",8.95,9.08,9.05,9,9.08,9,9.05,7.61,7.58,7.76,5,1.38,8.61493020501583,16.14,1.3e-09,2.9e-08,12.6
"Q8TEA8","DTD1_HUMAN","D-aminoacyl-tRNA deacylase 1 (DTD) (EC 3.1.1.96) (DNA-unwinding element-binding protein B) (DUE-B) (Gly-tRNA(Ala) deacylase) (EC 3.1.1.-) (Histidyl-tRNA synthase-related)","DTD1",10.57,11.08,10.79,11.35,10.85,10.77,10.99,7.52,8.11,7.45,9,3.12,9.94891069301727,16.12,1.3e-09,2.9e-08,12.58
"Q02543","RL18A_HUMAN","60S ribosomal protein L18a (Large ribosomal subunit protein eL20)","RPL18A",10.75,11.02,10.85,10.93,10.83,10.68,10.73,9.29,9.38,9.19,10,1.58,10.3655216622783,16.1,1.4e-09,2.9e-08,12.57
"P02545","LMNA_HUMAN","Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]","LMNA",12.74,12.83,12.75,12.63,12.76,12.69,12.71,11.58,11.65,11.58,53,1.17,12.3923998472937,16.09,1.4e-09,2.9e-08,12.56
"Q6P2Q9","PRP8_HUMAN","Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)","PRPF8",11.61,11.66,11.58,11.51,11.6,11.59,11.52,10.5,10.36,10.38,50,1.2,11.2290047104098,16.04,1.4e-09,2.9e-08,12.53
"P06730","IF4E_HUMAN","Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)","EIF4E",7.46,7.74,7.53,7.51,7.59,7.66,7.5,5.89,5.62,5.71,2,1.83,7.02216748857173,16.02,1.4e-09,2.9e-08,12.51
"O95340","PAPS2_HUMAN","Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]","PAPSS2",6.74,6.96,6.76,6.63,6.79,6.75,6.56,4.94,5,5.03,2,1.83,6.21643535537337,16.02,1.4e-09,2.9e-08,12.51
"Q14683","SMC1A_HUMAN","Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8)","SMC1A",10.53,10.84,10.82,10.72,10.81,10.68,10.77,9.15,9.26,9.21,25,1.52,10.2790595176891,16.01,1.4e-09,2.9e-08,12.5
"O15347","HMGB3_HUMAN","High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4)","HMGB3",8.54,8.87,8.69,8.31,8.63,8.73,8.65,6.72,6.7,6.83,6,1.95,8.06646797534303,16,1.5e-09,2.9e-08,12.5
"P62244","RS15A_HUMAN","40S ribosomal protein S15a (Small ribosomal subunit protein uS8)","RPS15A",10.39,10.28,10.34,10.42,10.25,10.29,10.24,8.99,8.81,9,9,1.4,9.89952195704894,15.96,1.5e-09,2.9e-08,12.47
"Q8N1G0","ZN687_HUMAN","Zinc finger protein 687","ZNF687",7.86,8.2,8.13,7.95,8,7.97,8.14,6.16,6.34,6.05,4,1.88,7.47965616266965,15.95,1.5e-09,2.9e-08,12.45
"O00571","DDX3X_HUMAN","ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)","DDX3X",10.23,10.39,10.17,10.45,10.3,10.29,10.28,8.85,8.94,8.86,7,1.38,9.87538674633577,15.91,1.6e-09,2.9e-08,12.43
"Q99708","CTIP_HUMAN","DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2)","RBBP8",7.71,8.05,8.3,8.21,8.29,7.74,8.23,4.57,5.04,4.23,2,3.4,7.03774499948812,15.89,1.6e-09,2.9e-08,12.41
