"Protein","Gene","Description","GeneSymbol","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B","controlLogFoldChange"
"O75694","NU155_HUMAN","Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155)","NUP155",7.72,7.64,7.53,7.41,7.5,7.32,7.26,6.46,6.37,6.27,4,-0.25,7.14826078654733,-2.57,0.024,1,-3.34,1.2605710885575
"Q15599","NHRF2_HUMAN","Na(+)/H(+) exchange regulatory cofactor NHE-RF2 (NHERF-2) (NHE3 kinase A regulatory protein E3KARP) (SRY-interacting protein 1) (SIP-1) (Sodium-hydrogen exchanger regulatory factor 2) (Solute carrier family 9 isoform A3 regulatory factor 2) (Tyrosine kinase activator protein 1) (TKA-1)","SLC9A3R2",5.28,5.04,5.42,5.57,5.46,5.52,5.6,4.35,4.44,4.43,2,0.29,5.11270490498355,2.39,0.034,1,-3.54,1.13359315360142
"Q9BWJ5","SF3B5_HUMAN","Splicing factor 3B subunit 5 (SF3b5) (Pre-mRNA-splicing factor SF3b 10 kDa subunit)","SF3B5",3.31,2.94,3.62,3.89,4.02,3.49,3.8,2.8,2.72,2.32,1,0.51,3.29141169827467,2.35,0.037,1,-3.58,1.18388374891904
"P20930","FILA_HUMAN","Filaggrin","FLG",6.92,7.21,7.18,7.27,7.68,7.3,7.35,6.33,6.6,6.26,1,0.29,7.00852491894901,2.24,0.045,1,-3.7,1.00209343600579
"Q9NQX4","MYO5C_HUMAN","Unconventional myosin-Vc","MYO5C",7.08,7.46,6.65,6.45,6.88,6.87,6.49,5.41,5.55,5.66,3,-0.39,6.44967785252925,-2.17,0.051,1,-3.77,1.52412225393657
"Q9NPA8","ENY2_HUMAN","Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog)","ENY2",6.53,6.95,6.52,6.06,6.52,6.55,6.24,4.73,4.84,4.65,1,-0.33,5.9586388288627,-2.15,0.052,1,-3.79,1.9312697278725
"Q9UHA3","RLP24_HUMAN","Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1) (Ribosomal protein L24-like)","RSL24D1",2.62,1.52,2.19,3.18,2.6,2.32,2.83,2.92,2.87,2.48,1,0.62,2.55316278230587,2.12,0.055,1,-3.82,-0.0246853347438289
"Q04695","K1C17_HUMAN","Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)","KRT17",8.27,8.47,8.11,8.89,9.32,8.48,8.23,6.72,7.05,7.03,4,0.45,8.05738028475583,2.11,0.056,1,-3.83,1.79277325475442
"Q9BT78","CSN4_HUMAN","COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4)","COPS4",4.3,4.08,3.93,4.25,4.64,4.57,4.31,3.81,3.52,3.87,1,0.34,4.12817587182616,2.06,0.061,1,-3.88,0.707498198080428
"Q8N475","FSTL5_HUMAN","Follistatin-related protein 5 (Follistatin-like protein 5)","FSTL5",5.51,5.35,6.34,6.34,6.03,5.9,6.33,5.67,5.93,5.56,1,0.42,5.8962262851059,1.95,0.075,1,-4,0.429029914025406
"Q86UE4","LYRIC_HUMAN","Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)","MTDH",6.19,5.87,6.42,6.41,6.32,6.36,6.61,5.72,5.91,5.83,2,0.27,6.1638468922828,1.95,0.075,1,-4,0.60850536395114
"P07437","TBB5_HUMAN","Tubulin beta chain (Tubulin beta-5 chain)","TUBB",9.44,9.69,9.39,9.08,9.34,9.46,9.33,8.2,8.13,8.15,4,-0.2,9.02125307316251,-1.92,0.078,1,-4.02,1.34442744935943
"Q86U70","LDB1_HUMAN","LIM domain-binding protein 1 (LDB-1) (Carboxyl-terminal LIM domain-binding protein 2) (CLIM-2) (LIM domain-binding factor CLIM2) (hLdb1) (Nuclear LIM interactor)","LDB1",2.74,3.34,3.98,3.89,3.67,3.87,3.84,3.13,3.32,3.09,1,0.47,3.48671554882463,1.91,0.079,1,-4.03,0.639635032853525
"P62841","RS15_HUMAN","40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19)","RPS15",8.34,8.38,8.32,8.57,8.43,8.5,8.48,7.5,7.39,7.5,3,0.15,8.14165819249414,1.91,0.08,1,-4.04,1.03494263829525
"Q13838","DX39B_HUMAN","Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein)","DDX39B",9.62,9.54,9.39,9.39,9.3,9.46,9.22,8.37,8.19,8.25,9,-0.17,9.07300419018779,-1.89,0.082,1,-4.05,1.24800741898695
"O75151","PHF2_HUMAN","Lysine-specific demethylase PHF2 (EC 1.14.11.-) (GRC5) (PHD finger protein 2)","PHF2",6.02,6.39,6.16,5.7,6.18,6.03,5.81,4.77,4.93,4.81,1,-0.26,5.67922062301996,-1.89,0.083,1,-4.06,1.35692668070013
"P28070","PSB4_HUMAN","Proteasome subunit beta type-4 (EC 3.4.25.1) (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)","PSMB4",2.8,2.47,2.63,3.13,3.06,2.82,3.35,2.07,2.69,1.8,1,0.45,2.68288052971699,1.87,0.086,1,-4.08,0.900761214062594
"P49916","DNLI3_HUMAN","DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)","LIG3",6.92,7.17,6.92,6.54,6.76,6.93,6.86,5.18,5.42,5.19,2,-0.23,6.38899970883213,-1.87,0.086,1,-4.08,1.7399456759506
"Q9BX40","LS14B_HUMAN","Protein LSM14 homolog B (Protein FAM61B) (RNA-associated protein 55B) (hRAP55B)","LSM14B",7.19,7.02,7.22,7.33,7.37,7.28,7.3,6.24,6.14,6.07,2,0.18,6.91567227301245,1.87,0.086,1,-4.08,1.16806357393318
"Q9BS40","LXN_HUMAN","Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Protein MUM) (Tissue carboxypeptidase inhibitor) (TCI)","LXN",6.99,7,7.24,7.41,7.24,7.19,7.45,6.48,6.93,6.47,1,0.25,7.03980260075759,1.84,0.089,1,-4.1,0.694744308442372
"P56192","SYMC_HUMAN","Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)","MARS",8.73,9.06,8.75,8.99,8.93,9.28,9,7.69,7.72,7.85,5,0.2,8.6005975807718,1.84,0.09,1,-4.11,1.29683610478973
"Q63HN8","RN213_HUMAN","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)","RNF213",6,5.95,6.94,6.94,6.58,6.38,6.94,6.45,6.4,6.19,1,0.41,6.47727295896476,1.83,0.092,1,-4.12,0.365927011137082
"Q15056","IF4H_HUMAN","Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein)","EIF4H",8.89,8.96,8.93,9.08,9,9.08,9.1,7.7,7.68,7.58,7,0.14,8.60003987634791,1.82,0.093,1,-4.13,1.41475356068442
"O75821","EIF3G_HUMAN","Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)","EIF3G",8.06,8.1,8.18,8.25,8.18,8.4,8.27,7.18,7.27,7.12,6,0.16,7.9014031734273,1.82,0.094,1,-4.13,1.08383871871446
"P08779","K1C16_HUMAN","Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)","KRT16",6.38,6.94,6.79,7.07,10.45,7.07,7.28,6.29,6.87,6.76,5,1.26,7.1912091149595,1.82,0.098,1,-4.14,1.32529211283633
"Q96RU3","FNBP1_HUMAN","Formin-binding protein 1 (Formin-binding protein 17) (hFBP17)","FNBP1",5.85,5.77,5.72,6.01,5.94,5.98,6.06,4.87,5.31,5.06,1,0.22,5.65773465458316,1.79,0.098,1,-4.16,0.915528271535381
"Q8N9T8","KRI1_HUMAN","Protein KRI1 homolog","KRI1",5.5,4.79,5.8,5.67,5.87,5.55,5.8,4.87,5.09,4.83,2,0.36,5.37736363368585,1.79,0.098,1,-4.16,0.793178339859354
"P16402","H13_HUMAN","Histone H1.3 (Histone H1c) (Histone H1s-2)","HIST1H1D",10.22,10.52,9.77,9.52,9.79,10.31,9.65,9.41,9.08,9.36,10,-0.35,9.76296839895623,-1.79,0.099,1,-4.16,0.884995501917627
"P61758","PFD3_HUMAN","Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)","VBP1",5.81,5.78,5.68,5.24,5.68,5.72,5.41,4.27,4.53,4.4,2,-0.25,5.25241068039537,-1.78,0.1,1,-4.17,1.35682221470601
"P02533","K1C14_HUMAN","Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)","KRT14",7.8,8.3,7.95,8,9.75,8.62,8.17,7.22,8.05,7.44,3,0.62,8.12953012461288,1.77,0.1,1,-4.18,1.06243481956611
"Q13601","KRR1_HUMAN","KRR1 small subunit processome component homolog (HIV-1 Rev-binding protein 2) (KRR-R motif-containing protein 1) (Rev-interacting protein 1) (Rip-1)","KRR1",7.17,7.22,7.31,7.02,7.03,7.05,6.94,6.05,6.19,5.62,2,-0.23,6.76031280663601,-1.77,0.1,1,-4.18,1.28275185184584
"Q12996","CSTF3_HUMAN","Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)","CSTF3",6.1,6.23,6.23,6.39,6.36,6.6,6.43,5.53,6.21,5.99,1,0.26,6.20802454240357,1.75,0.11,1,-4.2,0.538335273321362
"Q8N5C6","SRBD1_HUMAN","S1 RNA-binding domain-containing protein 1","SRBD1",5.29,5.42,5.57,5.56,5.56,5.68,5.8,4.2,4.43,4.1,1,0.23,5.16022675037474,1.74,0.11,1,-4.2,1.40786322439211
"P16104","H2AX_HUMAN","Histone H2AX (H2a/x) (Histone H2A.X)","H2AFX",6.98,7.07,6.68,6.26,6.76,6.87,6.71,5.98,6.07,6.02,1,-0.26,6.53845162158761,-1.73,0.11,1,-4.21,0.883713962420825
"Q9UNH7","SNX6_HUMAN","Sorting nexin-6 (TRAF4-associated factor 2) [Cleaved into: Sorting nexin-6, N-terminally processed]","SNX6",3.39,2.73,3,3.42,3.66,3.27,3.21,2.85,3.1,2.97,1,0.35,3.15910960217758,1.73,0.11,1,-4.22,0.417332028123413
"Q15847","ADIRF_HUMAN","Adipogenesis regulatory factor (Adipogenesis factor rich in obesity) (Adipose most abundant gene transcript 2 protein) (Adipose-specific protein 2) (apM-2)","ADIRF",6.47,5.87,6.65,6.62,6.7,6.31,7,5.2,5.14,5.33,1,0.33,6.12832546057131,1.73,0.11,1,-4.22,1.43694440017962
"P16989","YBOX3_HUMAN","Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)","YBX3",4.46,3.77,4.02,4.53,4.24,4.39,4.6,3.77,3.07,3.48,1,0.35,4.03372302428195,1.71,0.11,1,-4.23,0.996447767441431
"P02768","ALBU_HUMAN","Serum albumin","ALB",10.9,11.11,11.46,11.68,11.45,11.11,11.49,10.06,10.52,10.5,4,0.28,11.0281301554557,1.71,0.11,1,-4.24,1.07141819951589
"Q9H6Y2","WDR55_HUMAN","WD repeat-containing protein 55","WDR55",3.68,3.79,3.45,4.15,3.99,3.71,4.17,3.05,3.77,3,1,0.36,3.6757551116289,1.7,0.11,1,-4.24,0.733587717830028
"Q8IY18","SMC5_HUMAN","Structural maintenance of chromosomes protein 5 (SMC protein 5) (SMC-5) (hSMC5)","SMC5",4.86,4.79,5.03,4.58,4.98,4.4,4.52,3.17,3.23,3.44,1,-0.28,4.30102643797374,-1.7,0.11,1,-4.25,1.61285050545144
"Q6R327","RICTR_HUMAN","Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3)","RICTOR",5.14,4.92,5.57,5.74,5.55,5.18,5.69,4.39,4.98,4.83,1,0.33,5.19821062974278,1.69,0.12,1,-4.25,0.808543735708115
"Q96LD4","TRI47_HUMAN","Tripartite motif-containing protein 47 (Gene overexpressed in astrocytoma protein) (RING finger protein 100)","TRIM47",3.81,4.1,3.58,4.17,4.05,4.13,4.1,2.04,2.08,2.13,1,0.28,3.4177831564476,1.68,0.12,1,-4.27,2.02983722487549
"Q8WVK2","SNR27_HUMAN","U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein (U4/U6.U5 snRNP 27 kDa protein) (U4/U6.U5-27K) (Nucleic acid-binding protein RY-1) (U4/U6.U5 tri-snRNP-associated 27 kDa protein) (27K) (U4/U6.U5 tri-snRNP-associated protein 3)","SNRNP27",4.38,4.7,4.61,4.84,5.1,4.6,4.74,4.1,4.15,4.29,1,0.25,4.55229461231345,1.68,0.12,1,-4.27,0.63446484953655
"O95644","NFAC1_HUMAN","Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)","NFATC1",6.75,6.42,7.33,7.34,7.16,6.85,7.43,6.97,7.6,7.06,1,0.36,7.09133763808892,1.68,0.12,1,-4.27,-0.0130536194579607
"P23284","PPIB_HUMAN","Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)","PPIB",7.82,7.98,7.89,7.78,7.76,7.45,7.78,6.32,6.59,6.19,2,-0.2,7.3557336002851,-1.68,0.12,1,-4.27,1.52711331708682
"Q09666","AHNK_HUMAN","Neuroblast differentiation-associated protein AHNAK (Desmoyokin)","AHNAK",13.32,13.33,13.08,13.12,12.97,13.2,13.12,12.09,12.12,12.22,165,-0.14,12.858226537913,-1.67,0.12,1,-4.28,1.09932176664799
"Q9NZM5","NOP53_HUMAN","Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60)","NOP53",4.63,4.8,4.61,4.29,4.65,4.42,4.16,3.79,4.35,3.74,1,-0.3,4.34371404566349,-1.67,0.12,1,-4.28,0.722126549435539
"Q9HD20","AT131_HUMAN","Manganese-transporting ATPase 13A1 (EC 3.6.3.-)","ATP13A1",6.92,7.18,7.02,7.37,7.17,7.21,7.39,5.33,6.02,5.63,2,0.24,6.72457623081569,1.65,0.12,1,-4.3,1.62254949990235
"Q7L2H7","EIF3M_HUMAN","Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Fetal lung protein B5) (hFL-B5) (PCI domain-containing protein 1)","EIF3M",6.88,6.74,7.07,7.26,7.16,6.9,7.02,5.95,5.92,6.02,2,0.19,6.69268059414652,1.64,0.13,1,-4.3,1.12365731666894
"P13807","GYS1_HUMAN","Glycogen [starch] synthase, muscle (EC 2.4.1.11)","GYS1",2.78,2.2,2.85,2.71,3.38,2.9,3.13,1.77,2.34,2.35,1,0.42,2.63993451962707,1.63,0.13,1,-4.31,0.877140011297775
"P60842","IF4A1_HUMAN","Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)","EIF4A1",10.51,10.65,10.47,11.11,10.64,10.55,10.67,8.32,8.36,8.19,12,0.2,9.94682676264409,1.62,0.13,1,-4.32,2.45095690459534
"Q08379","GOGA2_HUMAN","Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130) (GM130 autoantigen) (Golgin-95)","GOLGA2",4.93,4.47,4.41,4.24,4.33,4.54,4.27,3.83,3.74,4.06,1,-0.26,4.2811956387048,-1.61,0.13,1,-4.33,0.734642028926775
"Q93008","USP9X_HUMAN","Probable ubiquitin carboxyl-terminal hydrolase FAF-X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)","USP9X",5.84,5.94,5.71,6.27,6.03,6.62,6.36,6.18,6,4.56,1,0.49,5.94989659094451,1.6,0.13,1,-4.34,0.741155094030225
"Q9ULC4","MCTS1_HUMAN","Malignant T-cell-amplified sequence 1 (MCT-1) (Multiple copies T-cell malignancies)","MCTS1",3.83,4.1,3.82,3.58,3.82,3.8,3.33,2.64,2.56,2.5,2,-0.29,3.39874641219755,-1.6,0.14,1,-4.34,1.34974148994996
"O15446","RPA34_HUMAN","DNA-directed RNA polymerase I subunit RPA34 (A34.5) (Antisense to ERCC-1 protein) (ASE-1) (CD3-epsilon-associated protein) (CAST) (CD3E-associated protein) (RNA polymerase I-associated factor PAF49)","CD3EAP",2.62,3.27,3.4,2.65,2.29,2.79,2.78,1.38,2.42,2.3,1,-0.47,2.58915703937092,-1.59,0.14,1,-4.35,1.06250272274593
"Q16822","PCKGM_HUMAN","Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)","PCK2",4.16,4.13,3.82,3.06,3.57,4.17,3.85,3.2,3.05,3.15,1,-0.37,3.61507571951986,-1.59,0.14,1,-4.35,0.902291893079171
"P62495","ERF1_HUMAN","Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1)","ETF1",7.68,7.52,7.67,7.82,7.72,7.75,7.79,6.89,7.12,6.94,2,0.15,7.49012989010345,1.58,0.14,1,-4.36,0.785236285390505
"Q9BZF9","UACA_HUMAN","Uveal autoantigen with coiled-coil domains and ankyrin repeats","UACA",6.04,6.51,5.91,5.98,5.83,5.98,5.91,4.93,5.18,4.96,1,-0.23,5.72376479081265,-1.58,0.14,1,-4.36,1.13402140259938
"Q9Y2S6","TMA7_HUMAN","Translation machinery-associated protein 7 (Coiled-coil domain-containing protein 72)","TMA7",6.54,6.43,6.92,6.79,6.84,6.84,7.04,5.15,4.91,4.54,1,0.25,6.20015084076351,1.56,0.14,1,-4.37,2.01041029926977
"P55265","DSRAD_HUMAN","Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)","ADAR",12.42,12.38,12.79,13.1,12.62,12.41,12.93,10.12,10.17,10.04,39,0.24,11.898602638258,1.56,0.14,1,-4.37,2.65864318893212
"Q9NSI2","F207A_HUMAN","Protein FAM207A","FAM207A",5.94,6.14,5.99,5.75,5.84,5.8,5.82,4.41,4.97,4.4,1,-0.22,5.50494501615105,-1.56,0.14,1,-4.38,1.43357261829062
"Q13310","PABP4_HUMAN","Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)","PABPC4",6.17,5.71,5.6,5.42,5.64,5.93,5.28,5.79,5.88,5.86,1,-0.26,5.72809870224609,-1.54,0.15,1,-4.39,-0.0125619170617295
"Q8WXH0","SYNE2_HUMAN","Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2)","SYNE2",3.93,4.08,4.48,4.63,4.37,4.2,4.7,3.8,4.47,4.01,1,0.31,4.26581525891286,1.53,0.15,1,-4.41,0.382117630531564
"Q86U42","PABP2_HUMAN","Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)","PABPN1",4.82,4.08,4.42,4.95,4.68,4.51,4.7,3.81,3.85,3.78,1,0.27,4.36016091753388,1.52,0.15,1,-4.41,0.896604057010627
"Q9UBC2","EP15R_HUMAN","Epidermal growth factor receptor substrate 15-like 1 (Eps15-related protein) (Eps15R)","EPS15L1",6.62,6.25,6.29,6.08,6.13,6.34,6.23,5.45,5.31,5.54,2,-0.19,6.02484812671695,-1.52,0.15,1,-4.41,0.948810777305152
"Q9H6T0","ESRP2_HUMAN","Epithelial splicing regulatory protein 2 (RNA-binding motif protein 35B) (RNA-binding protein 35B)","ESRP2",9.34,9.1,9.48,9.92,9.45,9.22,9.61,8.29,7.97,7.81,7,0.24,9.01885414187791,1.5,0.16,1,-4.43,1.52766214619562
"P62269","RS18_HUMAN","40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)","RPS18",9.44,9.03,9.28,9.51,9.32,9.44,9.41,8.75,8.42,8.58,8,0.17,9.11843254592744,1.5,0.16,1,-4.43,0.831116977355482
"Q15029","U5S1_HUMAN","116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)","EFTUD2",10.09,10.17,10.02,9.93,10.05,9.97,9.94,8.82,8.63,8.66,16,-0.12,9.62765048715849,-1.5,0.16,1,-4.43,1.38721818715614
"Q9NWV4","CA123_HUMAN","UPF0587 protein C1orf123","C1orf123",3.81,4.25,4.04,3.63,3.53,3.8,3.74,1.73,2.84,2.32,1,-0.36,3.37069910059599,-1.5,0.16,1,-4.44,1.73836729757259
"Q86U86","PB1_HUMAN","Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D)","PBRM1",3.97,3.87,3.88,3.4,3.96,3.66,3.51,2.04,2.34,2.2,1,-0.27,3.28258569485216,-1.49,0.16,1,-4.45,1.70897232481938
"Q9Y3A3","PHOCN_HUMAN","MOB-like protein phocein (2C4D) (Class II mMOB1) (Mob1 homolog 3) (Mob3) (Mps one binder kinase activator-like 3) (Preimplantation protein 3)","MOB4",5.64,5.86,6.19,6.46,5.92,5.97,6.25,3.13,3.41,3.35,2,0.25,5.21872155806894,1.48,0.16,1,-4.45,2.85060110104156
"Q96T37","RBM15_HUMAN","Putative RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)","RBM15",7.62,7.59,7.82,7.99,7.77,7.64,7.99,6.88,7.08,6.87,4,0.17,7.52565509365278,1.48,0.16,1,-4.45,0.899800794671866
"Q9Y223","GLCNE_HUMAN","Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]","GNE",4.62,4.87,5.03,5.52,5.16,4.81,5.13,3.94,4.78,4.33,1,0.31,4.81852441846997,1.48,0.16,1,-4.45,0.805320942046516
"P35249","RFC4_HUMAN","Replication factor C subunit 4 (Activator 1 37 kDa subunit) (A1 37 kDa subunit) (Activator 1 subunit 4) (Replication factor C 37 kDa subunit) (RF-C 37 kDa subunit) (RFC37)","RFC4",5.17,4.89,5.41,5.46,5.49,5.05,5.72,5.21,5.68,5.22,1,0.27,5.32971379369826,1.48,0.16,1,-4.45,0.0621951589423206
